tag,model,threads,n_gen,rep,mode,resident_after_drop,t_wall_s,read_bytes,rchar,max_vmrss_kb,max_rssfile_kb,tg_tok_s,memavail_kb_start,batt_level,batt_temp_dC,exit,cpu_s,memavail_kb_min,majflt,extra
olmoe-1b-7b-0924-q4_0_t2_n64_r1_warm_C_0xC0_cpu_strict_1,olmoe-1b-7b-0924-q4_0.gguf,2,64,1,warm,NA,18.7244,6550949888,2061869,5546208,3840352,10.091599,5886324,,,0,17.74,1835504,520594,"-C 0xC0 --cpu-strict 1"
olmoe-1b-7b-0924-q4_0_t2_n320_r1_warm_C_0xC0_cpu_strict_1,olmoe-1b-7b-0924-q4_0.gguf,2,320,1,warm,NA,31.6319,6919897088,2061869,5341000,3840244,20.891683,5747616,,,0,37.5,2048952,548771,"-C 0xC0 --cpu-strict 1"
