tag,model,threads,n_gen,rep,mode,resident_after_drop,t_wall_s,read_bytes,rchar,max_vmrss_kb,max_rssfile_kb,tg_tok_s,memavail_kb_start,batt_level,batt_temp_dC,exit,cpu_s,memavail_kb_min,majflt,extra
olmoe-1b-7b-0924-q4_0_t6_n64_r1_warm_C_0xFC_cpu_strict_1,olmoe-1b-7b-0924-q4_0.gguf,6,64,1,warm,NA,22.1164,6516584448,2061869,5539104,3840552,7.706799,5879276,,,0,48.41,2023932,499899,"-C 0xFC --cpu-strict 1"
olmoe-1b-7b-0924-q4_0_t6_n320_r1_warm_C_0xFC_cpu_strict_1,olmoe-1b-7b-0924-q4_0.gguf,6,320,1,warm,NA,27.0984,7180767232,2061869,5208536,3840676,28.959668,5820940,,,0,73.62,2081740,569498,"-C 0xFC --cpu-strict 1"
