tag,model,threads,n_gen,rep,mode,resident_after_drop,t_wall_s,read_bytes,rchar,max_vmrss_kb,max_rssfile_kb,tg_tok_s,memavail_kb_start,batt_level,batt_temp_dC,exit,cpu_s,memavail_kb_min
granite-3.1-1b-a400m-instruct-Q4_0_t2_n64_r1_warm,granite-3.1-1b-a400m-instruct-Q4_0.gguf,2,64,1,warm,NA,1.83347,0,2020909,1455348,758236,87.566866,5477984,,,0,2.25,4776304
granite-3.1-1b-a400m-instruct-Q4_0_t2_n320_r1_warm,granite-3.1-1b-a400m-instruct-Q4_0.gguf,2,320,1,warm,NA,5.12535,0,2020909,1467916,758308,80.785831,5460488,,,0,8.72,4758740
