creating /data/data/com.termux/files/home/moe/ufs.bin (8192 MB) ...
  created 0 / 8192 MB
  created 1024 / 8192 MB
  created 2048 / 8192 MB
  created 3072 / 8192 MB
  created 4096 / 8192 MB
  created 5120 / 8192 MB
  created 6144 / 8192 MB
  created 7168 / 8192 MB
repeat,mode,pattern,size_kb,threads,bytes,seconds,MBps,iops,lat_p50_us,lat_p99_us,errors,first_errno,power_w,temp_start_c,temp_end_c,temp_zone
2,direct,rand,1024,32,6443499520,2.0108,3204.49,3056.0,10409.8,11489.0,0,0,nan,58.5,58.6,pm8550_tz
2,direct,rand,4096,1,4756340736,2.0018,2376.07,566.5,1736.4,2255.6,0,0,nan,58.6,57.8,pm8550_tz
2,direct,rand,4096,4,5955911680,2.0055,2969.79,708.1,5537.8,7742.4,0,0,nan,57.7,58.0,pm8550_tz
2,direct,rand,4096,8,6287261696,2.0110,3126.39,745.4,10628.9,12465.9,0,0,nan,57.9,58.0,pm8550_tz
2,direct,rand,4096,16,6215958528,2.0192,3078.40,733.9,20789.5,45682.7,0,0,nan,58.0,58.0,pm8550_tz
2,direct,rand,4096,32,6069157888,2.0374,2978.89,710.2,44276.8,67505.1,0,0,nan,58.0,58.0,pm8550_tz
2,buffered,rand,512,1,1706033152,2.0004,852.86,1626.7,602.2,864.7,0,0,nan,58.0,55.8,pm8550_tz
2,buffered,rand,512,4,5585764352,2.0010,2791.55,5324.5,715.5,1295.5,0,0,nan,55.8,56.9,pm8550_tz
2,buffered,rand,512,8,5977407488,2.0012,2986.85,5697.0,1358.5,2404.2,0,0,nan,56.5,60.6,qmx-1-0
2,buffered,rand,512,16,6046613504,2.0033,3018.27,5756.9,2729.1,4350.9,0,0,nan,57.1,60.6,qmx-1-0
2,buffered,rand,512,32,5983698944,2.0055,2983.59,5690.8,5535.1,8206.0,0,0,nan,57.3,61.4,qmx-1-0
2,buffered,rand,1024,1,1853882368,2.0010,926.49,883.6,1123.6,1775.6,0,0,nan,57.8,56.2,pm8550_tz
2,buffered,rand,1024,4,5883559936,2.0015,2939.56,2803.4,1402.2,2040.5,0,0,nan,56.1,58.3,qmx-1-0
2,buffered,rand,1024,8,6111100928,2.0033,3050.51,2909.2,2702.5,4106.6,0,0,nan,57.0,59.0,cpullc-1-0
2,buffered,rand,1024,16,5925502976,2.0046,2955.92,2819.0,5487.0,8169.4,0,0,nan,57.5,60.2,qmx-1-1
2,buffered,rand,1024,32,5883559936,2.0115,2925.00,2789.5,10954.0,19871.3,0,0,nan,57.8,60.6,cpullc-1-0
2,buffered,rand,4096,1,1841299456,2.0008,920.30,219.4,4508.8,6638.5,0,0,nan,58.7,56.4,pm8550_tz
2,buffered,rand,4096,4,5645533184,2.0070,2812.94,670.7,5801.1,12025.4,0,0,nan,56.4,59.0,qmx-1-0
2,buffered,rand,4096,8,5888802816,2.0099,2929.96,698.6,10928.1,21968.9,0,0,nan,56.3,62.1,qmx-1-0
2,buffered,rand,4096,16,6098518016,2.0156,3025.61,721.4,21349.6,35976.4,0,0,nan,57.5,62.9,qmx-1-0
2,buffered,rand,4096,32,6157238272,2.0334,3028.09,722.0,42765.3,64244.0,0,0,nan,58.3,62.1,cpullc-1-0
3,direct,rand,512,1,2931818496,2.0003,1465.67,2795.5,348.1,511.9,0,0,nan,58.7,56.5,pm8550_tz
3,direct,rand,512,4,5500305408,2.0007,2749.13,5243.6,738.0,1276.8,0,0,nan,56.4,57.7,pm8550_tz
3,direct,rand,512,8,5629280256,2.0017,2812.30,5364.0,1458.7,2098.5,0,0,nan,57.5,58.0,pm8550_tz
3,direct,rand,512,16,5641863168,2.0030,2816.78,5372.6,2934.5,3687.6,0,0,nan,57.8,58.2,pm8550_tz
3,direct,rand,512,32,5630853120,2.0061,2806.83,5353.6,5914.5,6963.2,0,0,nan,58.0,58.3,pm8550_tz
3,direct,rand,1024,1,3565158400,2.0005,1782.15,1699.6,584.2,791.9,0,0,nan,58.0,57.3,pm8550_tz
3,direct,rand,1024,4,5765070848,2.0013,2880.69,2747.2,1437.6,2009.9,0,0,nan,56.9,57.7,pm8550_tz
3,direct,rand,1024,8,5637144576,2.0033,2813.95,2683.6,2964.2,3552.3,0,0,nan,57.4,57.8,pm8550_tz
3,direct,rand,1024,16,5748293632,2.0065,2864.89,2732.2,5816.2,6596.9,0,0,nan,57.6,58.0,pm8550_tz
3,direct,rand,1024,32,5700059136,2.0120,2833.10,2701.9,11771.2,12909.3,0,0,nan,57.7,58.0,pm8550_tz
3,direct,rand,4096,1,4643094528,2.0018,2319.48,553.0,1833.3,2111.7,0,0,nan,57.7,57.2,pm8550_tz
3,direct,rand,4096,4,5511315456,2.0063,2746.99,654.9,6069.5,7306.0,0,0,nan,56.9,57.4,pm8550_tz
3,direct,rand,4096,8,5532286976,2.0105,2751.64,656.0,12141.9,13775.5,0,0,nan,57.1,57.4,pm8550_tz
3,direct,rand,4096,16,5477761024,2.0267,2702.85,644.4,23668.5,52118.6,0,0,nan,57.2,57.4,pm8550_tz
3,direct,rand,4096,32,5578424320,2.0357,2740.28,653.3,48431.0,75594.8,0,0,nan,57.2,57.6,pm8550_tz
3,buffered,rand,512,1,1627914240,2.0005,813.76,1552.1,635.5,859.7,0,0,nan,57.4,55.4,pm8550_tz
3,buffered,rand,512,4,5285871616,2.0008,2641.89,5039.0,761.6,1281.4,0,0,nan,54.7,56.4,pm8550_tz
3,buffered,rand,512,8,5591531520,2.0016,2793.57,5328.3,1463.4,2304.4,0,0,nan,54.9,58.3,qmx-1-0
3,buffered,rand,512,16,5628755968,2.0032,2809.85,5359.4,2939.2,3709.1,0,0,nan,55.2,59.0,qmx-1-0
3,buffered,rand,512,32,5596250112,2.0057,2790.14,5321.8,5923.1,7017.9,0,0,nan,55.6,59.8,qmx-1-0
3,buffered,rand,1024,1,1807745024,2.0011,903.37,861.5,1146.4,1734.6,0,0,nan,56.3,55.0,pm8550_tz
3,buffered,rand,1024,4,5713690624,2.0015,2854.74,2722.5,1443.8,2114.3,0,0,nan,54.8,58.3,qmx-1-0
3,buffered,rand,1024,8,5919211520,2.0033,2954.75,2817.9,2797.9,3861.2,0,0,nan,55.6,59.4,qmx-1-0
3,buffered,rand,1024,16,5897191424,2.0046,2941.84,2805.6,5617.2,7257.3,0,0,nan,56.3,61.0,qmx-1-0
3,buffered,rand,1024,32,5932843008,2.0118,2948.97,2812.4,11087.7,19787.6,0,0,nan,57.5,61.7,qmx-1-0
3,buffered,rand,4096,1,1786773504,2.0007,893.08,212.9,4715.7,6090.9,0,0,nan,57.5,55.2,pm8550_tz
3,buffered,rand,4096,4,5721030656,2.0071,2850.37,679.6,5711.1,10479.9,0,0,nan,55.2,59.4,qmx-1-0
3,buffered,rand,4096,8,6073352192,2.0138,3015.94,719.1,10874.2,17051.9,0,0,nan,56.0,60.6,qmx-1-0
3,buffered,rand,4096,16,6069157888,2.0151,3011.83,718.1,21521.8,37393.1,0,0,nan,57.1,61.4,qmx-1-4
3,buffered,rand,4096,32,6111100928,2.0256,3016.99,719.3,42751.7,68462.8,0,0,nan,58.7,62.1,cpullc-1-0
done; direct I/O supported. Results in /data/data/com.termux/files/home/moe/out_20260916_0042/ufs_qd.csv
