build_commit,build_number,cpu_info,gpu_info,backends,model_filename,model_type,model_size,model_n_params,n_batch,n_ubatch,n_threads,cpu_mask,cpu_strict,poll,type_k,type_v,n_gpu_layers,n_cpu_moe,split_mode,main_gpu,no_kv_offload,flash_attn,devices,tensor_split,tensor_buft_overrides,load_mode,lazy_mode,embeddings,no_op_offload,no_host,fit_target,fit_min_ctx,n_prompt,n_gen,n_depth,test_time,avg_ns,stddev_ns,avg_ts,stddev_ts
"9f31776","1","CPU","QUALCOMM Adreno(TM) 829, Hexagon","OpenCL,HTP","/data/local/tmp/moe-stream/olmoe-1b-7b-0924-q4_0.gguf","olmoe A1.7B Q4_0","3926255616","6919161856","2048","512","4","0xf0","1","50","f16","f16","0","0","layer","0","0","-1","none","0.00","none","auto","auto","0","0","0","0","0","64","0","0","2026-09-17T15:35:40Z","1150883125","0","55.609469","0.000000"
"9f31776","1","CPU","QUALCOMM Adreno(TM) 829, Hexagon","OpenCL,HTP","/data/local/tmp/moe-stream/olmoe-1b-7b-0924-q4_0.gguf","olmoe A1.7B Q4_0","3926255616","6919161856","2048","512","4","0xf0","1","50","f16","f16","0","0","layer","0","0","-1","none","0.00","none","auto","auto","0","0","0","0","0","0","64","0","2026-09-17T15:35:43Z","2105653332","0","30.394367","0.000000"
