tag,model,threads,n_gen,rep,mode,resident_after_drop,t_wall_s,read_bytes,rchar,max_vmrss_kb,max_rssfile_kb,tg_tok_s,memavail_kb_start,batt_level,batt_temp_dC,exit,cpu_s,memavail_kb_min
olmoe-1b-7b-0924-q4_0_t4_n64_r1_cold,olmoe-1b-7b-0924-q4_0.gguf,4,64,1,cold,0.0000,28.8122,10257944576,2061869,4421264,2290248,9.537821,4180776,,,0,38.03,1896096
olmoe-1b-7b-0924-q4_0_t4_n320_r1_cold,olmoe-1b-7b-0924-q4_0.gguf,4,320,1,cold,0.0000,92.5796,10162946048,2061869,5440300,3840676,3.961415,5565768,,,0,255.98,1700072
olmoe-1b-7b-0924-q4_0_t4_n64_r2_cold,olmoe-1b-7b-0924-q4_0.gguf,4,64,2,cold,0.0000,67.1182,9966362624,2061869,5163968,3840640,1.288269,5386344,,,0,139.73,1910680
olmoe-1b-7b-0924-q4_0_t4_n320_r2_cold,olmoe-1b-7b-0924-q4_0.gguf,4,320,2,cold,0.0000,208.52,10611900416,2061869,5440164,3840560,1.650886,5583884,,,0,573.72,1709964
olmoe-1b-7b-0924-q4_0_t4_n64_r3_cold,olmoe-1b-7b-0924-q4_0.gguf,4,64,3,cold,0.0000,39.6218,9767604224,2061869,5152716,3840476,2.833477,5366048,,,0,72.78,1987412
olmoe-1b-7b-0924-q4_0_t4_n320_r3_cold,olmoe-1b-7b-0924-q4_0.gguf,4,320,3,cold,0.0000,25.5497,8336711680,2061869,5448760,3840644,29.333282,5774648,,,0,51.27,1988560
