mode=anonymous oom_score_adj=0 MemTotal_MB=11381 SwapTotal_MB=5119
held_MB,chunk_s,fill_MBps,VmRSS_MB,VmSwap_MB,MemAvailable_MB,SwapFree_MB,stop_reason
256,0.152,1680,258,0,8652,4051,
512,0.141,1810,514,0,8384,4051,
768,0.148,1727,770,0,8113,4051,
1024,0.146,1752,1026,0,7843,4051,
1280,0.140,1825,1282,0,7579,4052,
1536,0.140,1832,1538,0,7320,4052,
1792,0.146,1756,1794,0,7063,4052,
2048,0.142,1808,2050,0,6797,4052,
2304,0.143,1792,2306,0,6530,4052,
2560,0.141,1818,2562,0,6266,4053,
2816,0.139,1845,2818,0,6004,4053,
3072,0.145,1766,3074,0,5739,4053,
3328,0.142,1802,3330,0,5476,4053,
3584,0.139,1837,3586,0,5217,4053,
3840,0.140,1832,3842,0,4953,4053,
4096,0.141,1812,4098,0,4689,4055,
4352,0.138,1858,4354,0,4427,4056,
4608,0.141,1814,4610,0,4160,4056,
4864,0.142,1804,4866,0,3899,4056,
5120,0.141,1811,5122,0,3634,4056,
5376,0.139,1837,5378,0,3373,4056,
5632,0.146,1756,5634,0,3116,4056,
5888,0.143,1787,5890,0,2860,4056,
6144,0.143,1789,6146,0,2601,4057,
6400,0.150,1703,6402,0,2346,4060,
6656,0.143,1786,6658,0,2088,4060,
6912,0.143,1793,6914,0,1825,4060,
7168,0.147,1746,7170,0,1372,4058,
7424,0.290,883,7426,0,1124,4038,
7680,0.401,639,7682,0,895,4001,
7936,0.378,678,7938,0,694,3986,
8192,0.318,804,8194,0,529,3972,memavailable_floor
max_VmRSS_MB=8194 chunks=32 mode=anonymous
