tag,model,threads,n_gen,rep,mode,resident_after_drop,t_wall_s,read_bytes,rchar,max_vmrss_kb,max_rssfile_kb,tg_tok_s,memavail_kb_start,batt_level,batt_temp_dC,exit,cpu_s,memavail_kb_min
granite-3.1-1b-a400m-instruct-Q4_0_t4_n64_r1_warm,granite-3.1-1b-a400m-instruct-Q4_0.gguf,4,64,1,warm,NA,1.7815,0,2020909,1455308,758168,99.170264,5435868,,,0,3.41,4784072
granite-3.1-1b-a400m-instruct-Q4_0_t4_n320_r1_warm,granite-3.1-1b-a400m-instruct-Q4_0.gguf,4,320,1,warm,NA,4.69065,0,2020909,1467876,758540,90.718285,5420988,,,0,14.85,4722576
