tag,model,threads,n_gen,rep,mode,resident_after_drop,t_wall_s,read_bytes,rchar,max_vmrss_kb,max_rssfile_kb,tg_tok_s,memavail_kb_start,batt_level,batt_temp_dC,exit,cpu_s,memavail_kb_min
olmoe-1b-7b-0924-q4_0_t3_n64_r1_warm,olmoe-1b-7b-0924-q4_0.gguf,3,64,1,warm,NA,131.475,8168034304,2061869,5373948,3840340,0.552582,5700308,,,0,242.33,1749604
olmoe-1b-7b-0924-q4_0_t3_n320_r1_warm,olmoe-1b-7b-0924-q4_0.gguf,3,320,1,warm,NA,127.086,9147736064,2061869,5137496,3840896,2.821663,5557556,,,0,244.24,1565032
