tag,model,threads,n_gen,rep,mode,resident_after_drop,t_wall_s,read_bytes,rchar,max_vmrss_kb,max_rssfile_kb,tg_tok_s,memavail_kb_start,batt_level,batt_temp_dC,exit,cpu_s,memavail_kb_min
granite-3.1-1b-a400m-instruct-Q4_0_t1_n64_r1_warm,granite-3.1-1b-a400m-instruct-Q4_0.gguf,1,64,1,warm,NA,3.06651,773570560,2020909,1454624,757860,49.389099,5730952,,,0,2.5,5001656
granite-3.1-1b-a400m-instruct-Q4_0_t1_n320_r1_warm,granite-3.1-1b-a400m-instruct-Q4_0.gguf,1,320,1,warm,NA,8.2464,0,2020909,1467868,758224,45.336080,5582580,,,0,7.88,4815472
