index,gate,up,gpu,ref,flagged
119305,-0x1.6185aep-119,-0x1.5d634ep+0,0x1.e27c5ep-120,0x1.e27c6p-120,1
119308,-0x1.34941cp-127,-0x1.6b9b0cp-2,0x0p+0,0x1.b648ep-130,0
119309,-0x1.c1c762p-107,-0x1.510294p-1,0x1.280dfep-108,0x1.280ep-108,1
119335,-0x1.3ac0c2p-118,-0x1.fba80cp-1,0x1.38152cp-119,0x1.38152ep-119,1
119342,-0x1.1d088p-132,0x1.c41bep+0,-0x0p+0,-0x1.f761p-133,0
119356,-0x1.0c45e8p-128,0x1.8eb672p-1,-0x0p+0,-0x1.a1d3ep-130,0
119365,-0x1.266ap-131,-0x1.2da83p-1,0x0p+0,0x1.5aecp-133,0
119389,-0x1.c9254p-130,-0x1.d6ea3cp-1,0x0p+0,0x1.a4764p-131,0
119421,0x1.95e5fap-112,-0x1.0b0fd2p-1,-0x1.a76ff4p-114,-0x1.a76ff2p-114,1
119439,-0x1.ac671ap-126,-0x1.82336p-1,0x0p+0,0x1.4324b4p-127,1
119443,0x1.76b20ap-109,-0x1.281eb6p-2,-0x1.b16ad2p-112,-0x1.b16acep-112,1
119446,-0x1.20c28p-132,0x1.aaff3ap-1,-0x0p+0,-0x1.e1a2p-134,0
119447,0x1.737a4ep-113,0x1.0ad94ap-3,0x1.833866p-117,0x1.833864p-117,1
119454,0x1.005db6p-122,0x1.1b9e4ep-1,0x1.1c0622p-124,0x1.1c062p-124,1
119476,-0x1.d766p-132,-0x1.e49f26p-1,0x0p+0,0x1.be31p-133,0
119479,-0x1.2c639ap-117,0x1.43865cp+0,-0x1.7b9f5p-118,-0x1.7b9f54p-118,1
119482,0x1.fdf1b2p-111,0x1.ebf478p+0,0x1.e9fac6p-111,0x1.e9fac4p-111,1
119488,-0x1.01c322p-112,0x1.03f08cp-1,-0x1.05ba9ep-114,-0x1.05baap-114,1
119492,0x1.abf978p-127,0x1.a29a66p-3,0x0p+0,0x1.5de7cp-130,0
119500,0x1.19f358p-127,-0x1.db3a96p-1,-0x0p+0,-0x1.05b388p-128,0
119515,-0x1.58c9f2p-104,0x1.db7acap-1,-0x1.403208p-105,-0x1.40320ap-105,1
119524,-0x1.dcebe2p-105,0x1.7d5506p-1,-0x1.6334b8p-106,-0x1.6334bap-106,1
119538,-0x1.717232p-116,0x1.4e63d2p+1,-0x1.e29308p-116,-0x1.e2930cp-116,1
119543,0x1.73528p-132,0x1.e6a232p-2,0x0p+0,0x1.60ecp-134,0
119551,0x1.11fdeap-111,-0x1.4c55aep+0,-0x1.63b102p-112,-0x1.63b1p-112,1
119571,0x1.69ed5ap-105,-0x1.522a2cp-1,-0x1.de1702p-107,-0x1.de17p-107,1
119617,-0x1.243fp-132,0x1.11a58cp-2,-0x0p+0,-0x1.3864p-135,0
119621,-0x1.6d4bf2p-125,-0x1.1354fep-3,0x0p+0,0x1.88e1ep-129,1
119644,0x1.2e6c8ap-119,0x1.9f03aap+0,0x1.ea464cp-120,0x1.ea4648p-120,1
119647,-0x1.7e51d2p-122,0x1.79df2ap-1,-0x1.1a29e2p-123,-0x1.1a29e4p-123,1
119662,0x1.3e548p-129,-0x1.ce3714p+0,-0x0p+0,-0x1.1f608p-129,0
119688,0x1.0abbb2p-113,-0x1.8ac3fep+0,-0x1.9b5118p-114,-0x1.9b5116p-114,1
119725,-0x1.6cb08ep-113,0x1.64f8bcp+0,-0x1.fc87dap-114,-0x1.fc87dcp-114,1
119737,0x1.78aa8p-132,-0x1.5fa77cp+0,-0x0p+0,-0x1.02b4p-132,0
119744,-0x1.a8873ep-125,-0x1.454dd2p-2,0x0p+0,0x1.0dba6p-127,1
119749,-0x1.5f6eeep-117,0x1.138226p-1,-0x1.7a36d2p-119,-0x1.7a36d4p-119,1
119756,0x1.c8cd8ap-126,0x1.ff3946p-1,0x0p+0,0x1.c81c3cp-127,1
119758,-0x1.2c4262p-113,0x1.8e03e2p-1,-0x1.d2d3cp-115,-0x1.d2d3c2p-115,1
119761,-0x1.13b7f6p-106,-0x1.3eba38p-12,0x1.574712p-119,0x1.574714p-119,1
119762,0x1.773342p-125,0x1.01ef4cp+0,0x1.7a093p-126,0x1.7a092ep-126,1
119764,-0x1.dce6bep-116,-0x1.749d08p-3,0x1.5b11e8p-119,0x1.5b11eap-119,1
119784,0x1.45bdcp-131,-0x1.68eb8ap-2,-0x0p+0,-0x1.cb3ep-134,0
119811,0x1.1eb31ap-112,0x1.f04452p-1,0x1.15e3c4p-113,0x1.15e3c2p-113,1
119855,-0x1.0e7d9ep-121,0x1.882778p-4,-0x1.9e5a0ap-126,-0x1.9e5a0ep-126,1
119858,0x1.96aafep-106,-0x1.7a1d26p-2,-0x1.2c5366p-108,-0x1.2c5364p-108,1
119860,-0x1.2087c2p-123,0x1.a9791ep-2,-0x1.df89ep-126,-0x1.df89e4p-126,1
119892,-0x1.11dc7ep-116,-0x1.6c6942p-3,0x1.85d61ap-120,0x1.85d61ep-120,1
119900,-0x1.7ed12ep-122,0x1.266234p-1,-0x1.b83712p-124,-0x1.b83714p-124,1
119920,-0x1.6bfac6p-123,-0x1.30207p+0,0x1.b067e8p-124,0x1.b067eap-124,1
119936,-0x1.f0444ep-125,0x1.102456p+0,-0x1.07c78p-125,-0x1.07c782p-125,1
119937,-0x1.7c43a2p-109,0x1.d6ec66p-1,-0x1.5dc1a6p-110,-0x1.5dc1a8p-110,1
119940,-0x1.69b49ep-124,0x1.1b6558p-3,-0x0p+0,-0x1.9069d8p-128,1
119952,0x1.3cfc8p-131,0x1.5421f4p-1,0x0p+0,0x1.a529p-133,0
119955,-0x1.379b9ap-116,0x1.477fd8p+1,-0x1.8ea35cp-116,-0x1.8ea35ep-116,1
119957,-0x1.1e06cap-120,-0x1.6d06a6p+0,0x1.97d718p-121,0x1.97d71cp-121,1
119985,-0x1.cc4962p-107,-0x1.72798ap-1,0x1.4d0e4ap-108,0x1.4d0e4cp-108,1
119994,0x1.a48f9ap-109,-0x1.119c4ap-3,-0x1.c17de6p-113,-0x1.c17de4p-113,1
120008,0x1.e8c7ep-129,0x1.108892p+0,0x0p+0,0x1.042c9p-129,0
120015,0x1.e89c0ap-104,-0x1.4dfa56p-3,-0x1.3eb864p-107,-0x1.3eb862p-107,1
120023,0x1.2b7dd4p-123,0x1.8e20d8p-5,0x0p+0,0x1.d1c41p-129,1
120032,0x1.4185p-129,-0x1.dbbb6ep+0,-0x0p+0,-0x1.2abe9p-129,0
120060,0x1.9fba98p-127,-0x1.515c5p+0,-0x0p+0,-0x1.11ed44p-127,0
120076,-0x1.518572p-112,0x1.c2bdfp+0,-0x1.29237ep-112,-0x1.29238p-112,1
120095,-0x1.61013ep-105,0x1.3db7fp+0,-0x1.b61c2ap-106,-0x1.b61c2cp-106,1
120104,0x1.a7deap-130,-0x1.453caap+0,-0x0p+0,-0x1.0d41p-130,0
120106,-0x1.bc29cap-118,-0x1.e0e25ep-1,0x1.a12b8cp-119,0x1.a12b8ep-119,1
120126,-0x1.3474eep-117,-0x1.1c32bp-1,0x1.566ec8p-119,0x1.566ecap-119,1
120127,-0x1.2039ep-130,0x1.cff872p-2,-0x0p+0,-0x1.05308p-132,0
120147,-0x1.760bdap-104,-0x1.9ca454p-4,0x1.2d7594p-108,0x1.2d7596p-108,1
120153,0x1.cb768p-132,0x1.6ea246p+0,0x0p+0,0x1.4903p-132,0
120172,-0x1.f35fdp-129,-0x1.7ce33p-1,0x0p+0,0x1.737eap-130,0
120195,0x1.c041ap-128,-0x1.2e382cp+1,-0x0p+0,-0x1.0897e4p-127,0
120197,0x1.41ecf6p-115,-0x1.1206dp+0,-0x1.589832p-116,-0x1.58983p-116,1
120211,0x1.cf3186p-114,-0x1.53e39cp-4,-0x1.337d36p-118,-0x1.337d34p-118,1
120226,0x1.bc320ep-109,0x1.283bd2p-4,0x1.0100d8p-113,0x1.0100d6p-113,1
120230,0x1.3afb32p-113,-0x1.9a1778p-3,-0x1.f89332p-117,-0x1.f8932ep-117,1
120241,-0x1.20622p-129,0x1.884bd2p-2,-0x0p+0,-0x1.b9eb8p-132,0
120270,0x1.239a4p-131,0x1.86ccd2p+0,0x0p+0,0x1.bd26p-132,0
120272,0x1.e3b77p-127,0x1.03e4c2p-6,0x0p+0,0x1.eb12p-134,0
120275,0x1.8cdffap-123,-0x1.65ce16p-4,-0x0p+0,-0x1.1559ecp-127,1
120277,0x1.a83cap-128,0x1.04b12ap+0,0x0p+0,0x1.b0033p-129,0
120283,0x1.6b075ap-108,-0x1.acb32ap-1,-0x1.2ff73p-109,-0x1.2ff72ep-109,1
120291,-0x1.9f6b22p-109,0x1.0fec28p-2,-0x1.b9419ep-112,-0x1.b941ap-112,1
120307,-0x1.2adp-132,0x1.46c5d6p-1,-0x0p+0,-0x1.7d6cp-134,0
120319,0x1.27e79ap-104,0x1.38deeep-3,0x1.69a3f4p-108,0x1.69a3f2p-108,1
120371,0x1.9b6036p-113,-0x1.b3ac7cp-2,-0x1.5e0cd6p-115,-0x1.5e0cd4p-115,1
120392,-0x1.9cd396p-116,-0x1.e0b52p-3,0x1.839866p-119,0x1.839868p-119,1
120423,-0x1.1951bcp-127,0x1.2073ap-1,-0x0p+0,-0x1.3cfbp-129,0
120429,0x1.11cf18p-127,0x1.13c758p-4,0x0p+0,0x1.26f68p-132,0
120432,-0x1.820a8p-132,0x1.c40a42p-2,-0x0p+0,-0x1.54d4p-134,0
120452,-0x1.0457e6p-114,-0x1.ef12bep-2,0x1.f77902p-117,0x1.f77906p-117,1
120476,0x1.5c3496p-114,-0x1.26dea6p-1,-0x1.91133ep-116,-0x1.91133cp-116,1
120478,-0x1.53c26ap-125,-0x1.045fc6p-1,0x0p+0,0x1.59909p-127,1
120497,0x1.18df82p-116,0x1.db7d3ap-2,0x1.04d81p-118,0x1.04d80ep-118,1
120519,0x1.796168p-127,-0x1.a983b8p-2,-0x0p+0,-0x1.39a27p-129,0
120526,0x1.2c18p-133,0x1.887742p-1,0x0p+0,0x1.cc1p-135,0
120531,-0x1.93668p-132,0x1.e86bb8p-1,-0x0p+0,-0x1.80d2p-133,0
120546,0x1.eec8f2p-124,-0x1.5ef6fp-1,-0x1.532a02p-125,-0x1.532ap-125,1
120569,-0x1.50ad94p-125,-0x1.189732p-3,0x0p+0,0x1.7104bp-129,1
120573,0x1.57423ap-120,0x1.9a8994p-3,0x1.133c46p-123,0x1.133c44p-123,1
120582,-0x1.8e112ep-117,0x1.93b32p-3,-0x1.39ddc8p-120,-0x1.39ddcap-120,1
120593,-0x1.c37846p-121,-0x1.7ca7bep-3,0x1.4fa72cp-124,0x1.4fa72ep-124,1
