index,gate,up,gpu,ref,flagged
0,-0x1.0221p-129,-0x1.13b364p-1,0x0p+0,0x1.15fe4p-131,0
44,0x1.71d1bp-129,0x1.a74802p+0,0x0p+0,0x1.31bcdp-129,0
80,-0x1.a44366p-122,0x1.57359p+0,-0x1.19b71cp-122,-0x1.19b71ep-122,1
89,0x1.389c3ep-108,-0x1.301512p-1,-0x1.735346p-110,-0x1.735344p-110,1
100,0x1.d21bbap-126,-0x1.5b1386p-1,-0x0p+0,-0x1.3bf79p-127,1
109,0x1.8e77f6p-109,-0x1.2b0c66p-1,-0x1.d1796cp-111,-0x1.d17968p-111,1
113,-0x1.13c05ep-119,0x1.be06dp-1,-0x1.e07076p-121,-0x1.e0707ap-121,1
127,0x1.b79abp-128,-0x1.3f8e9cp+0,-0x0p+0,-0x1.125f5p-128,0
141,-0x1.ad18dp-129,-0x1.99bf16p+0,0x0p+0,0x1.57667p-129,0
146,-0x1.9184bap-104,0x1.1e6952p-2,-0x1.c13776p-107,-0x1.c13778p-107,1
149,0x1.a170eap-112,-0x1.d8efep-2,-0x1.8197acp-114,-0x1.8197aap-114,1
159,-0x1.a0a996p-115,0x1.2c529ap-3,-0x1.e8cd2ap-119,-0x1.e8cd2cp-119,1
166,0x1.c007p-132,0x1.9c7526p-1,0x0p+0,0x1.68ecp-133,0
196,-0x1.3f2326p-126,-0x1.0809f4p+0,0x1.0809f4p-126,0x1.4928a8p-127,1
197,-0x1.742bcp-131,-0x1.6bf40cp-2,0x0p+0,0x1.088fp-133,0
208,-0x1.321d7ap-115,0x1.412aep-2,-0x1.800a38p-118,-0x1.800a3ap-118,1
252,-0x1.b714eap-126,0x1.c5bb54p+0,-0x1.c5bb54p-126,-0x1.851ca6p-126,1
257,-0x1.2e983ap-109,-0x1.0e28b8p-3,0x1.3f54acp-113,0x1.3f54aep-113,1
262,0x1.f73412p-104,-0x1.f5746cp-1,-0x1.ecd6e2p-105,-0x1.ecd6ep-105,1
274,0x1.4376e4p-127,0x1.094db8p+0,0x0p+0,0x1.4f384p-128,0
296,0x1.db69fcp-125,0x1.e50c02p-3,0x0p+0,0x1.c26308p-128,1
324,-0x1.2a9e0ap-119,0x1.0c8808p+0,-0x1.393c1ep-120,-0x1.393c2p-120,1
346,0x1.fbcb78p-124,-0x1.c0a018p-4,-0x0p+0,-0x1.bcf0dp-128,1
351,-0x1.c08172p-106,-0x1.a87fe2p-2,0x1.73db36p-108,0x1.73db38p-108,1
377,0x1.292922p-123,-0x1.902a3ep-1,-0x1.d0815p-125,-0x1.d0814ep-125,1
389,0x1.f06bc4p-127,0x1.e761eep-3,0x0p+0,0x1.d88d8p-130,0
393,0x1.b925p-132,0x1.2223f6p-1,0x0p+0,0x1.f3fap-134,0
412,0x1.3a36fp-128,0x1.2d7862p+0,0x0p+0,0x1.72066p-129,0
461,0x1.7aaf2ep-104,-0x1.a45bf6p-1,-0x1.36e7bap-105,-0x1.36e7b8p-105,1
468,0x1.a25438p-127,0x1.5a56d6p-8,0x0p+0,0x1.1af8p-135,0
473,0x1.1bbc16p-117,-0x1.bb7044p-1,-0x1.eb7aecp-119,-0x1.eb7ae8p-119,1
521,-0x1.ae54c2p-126,-0x1.170f64p+1,0x1.170f64p-125,0x1.d5183cp-126,1
527,-0x1.10ccbap-115,-0x1.5b10c8p+0,0x1.71d76p-116,0x1.71d762p-116,1
528,0x1.318062p-115,-0x1.10d986p-4,-0x1.459cp-120,-0x1.459bfep-120,1
544,-0x1.408f8p-132,-0x1.70790ap+0,0x0p+0,0x1.cd67p-133,0
552,0x1.3f761ep-123,0x1.150e1p-2,0x1.59bc5ep-126,0x1.59bc5ap-126,1
553,0x1.9bd0bap-121,0x1.1d0ce4p-1,0x1.ca8c1ep-123,0x1.ca8c1cp-123,1
564,0x1.445556p-125,-0x1.104edcp+0,-0x1.58fe96p-126,-0x1.58fe94p-126,1
568,0x1.e09dcp-130,0x1.8f163ap-2,0x0p+0,0x1.76ap-132,0
576,-0x1.ecd3p-131,-0x1.6d30ecp-1,0x0p+0,0x1.5f838p-132,0
581,0x1.6291dap-114,-0x1.acff2p+0,-0x1.29169cp-114,-0x1.29169ap-114,1
595,0x1.11fbdep-123,0x1.6022f2p+0,0x1.78dfbap-124,0x1.78dfb8p-124,1
615,0x1.f504eap-117,0x1.b97338p-1,0x1.affb7cp-118,0x1.affb7ap-118,1
630,-0x1.01c776p-117,-0x1.99667ap-5,0x1.9c3ed8p-123,0x1.9c3edcp-123,1
633,0x1.8931a2p-107,-0x1.b1b446p-2,-0x1.4d10ecp-109,-0x1.4d10eap-109,1
640,0x1.eac1p-132,-0x1.4e4e4p+0,-0x0p+0,-0x1.406fp-132,0
665,0x1.67a816p-120,0x1.201b78p+0,0x1.94c3b2p-121,0x1.94c3bp-121,1
672,0x1.82a3p-132,-0x1.95aeaap-2,-0x0p+0,-0x1.325ap-134,0
682,-0x1.16a3eap-105,0x1.93b726p-1,-0x1.b76b5ep-107,-0x1.b76b62p-107,1
692,0x1.febdc2p-116,-0x1.8dbc8ep-1,-0x1.8cc23cp-117,-0x1.8cc23ap-117,1
693,0x1.cebaf6p-111,-0x1.3fc378p+0,-0x1.20fe26p-111,-0x1.20fe24p-111,1
697,-0x1.43f72p-130,-0x1.01ce1cp-1,0x0p+0,0x1.464p-132,0
710,0x1.cddbe6p-116,-0x1.21a10ap+0,-0x1.0543e6p-116,-0x1.0543e4p-116,1
730,-0x1.b29bf2p-108,0x1.5424ecp+1,-0x1.20bae4p-107,-0x1.20bae6p-107,1
739,0x1.44daep-130,-0x1.27e254p-2,-0x0p+0,-0x1.7778p-133,0
754,0x1.8c640ep-112,-0x1.9159e4p+0,-0x1.36b9f6p-112,-0x1.36b9f4p-112,1
756,-0x1.86c912p-118,0x1.6d73d2p-3,-0x1.16eebcp-121,-0x1.16eebep-121,1
763,-0x1.440ceep-110,0x1.b72124p+0,-0x1.15ee0ep-110,-0x1.15ee1p-110,1
781,0x1.142ecp-130,0x1.3220eap-1,0x0p+0,0x1.4a438p-132,0
784,-0x1.72b2p-132,-0x1.cf4c4cp-1,0x0p+0,0x1.4f6fp-133,0
808,-0x1.d0fccap-109,0x1.2bcc1ep+0,-0x1.1044fep-109,-0x1.1045p-109,1
816,0x1.ca33p-133,0x1.87a88ap-1,0x0p+0,0x1.5e82p-134,0
819,-0x1.3e797ep-115,-0x1.74eb3ep+0,0x1.cfed2ep-116,0x1.cfed32p-116,1
823,0x1.38ec8p-129,-0x1.3b24bp+0,-0x0p+0,-0x1.8137ep-130,0
825,-0x1.738696p-124,-0x1.182a88p-1,0x1.9698ecp-126,0x1.9698eep-126,1
830,-0x1.835b66p-109,0x1.e827cp-1,-0x1.71512ep-110,-0x1.71513p-110,1
832,0x1.45384ap-115,0x1.aeede4p-1,0x1.11b964p-116,0x1.11b962p-116,1
840,0x1.2763e8p-126,-0x1.9a60fcp-1,-0x0p+0,-0x1.d985e8p-128,1
841,-0x1.ee11e4p-127,-0x1.3425c6p-5,0x0p+0,0x1.295bp-132,0
870,0x1.063ee2p-105,-0x1.4325d4p+0,-0x1.4b081ap-106,-0x1.4b0818p-106,1
885,-0x1.ae5f4ap-117,-0x1.d90be6p-5,0x1.8da106p-122,0x1.8da108p-122,1
889,0x1.4938p-131,-0x1.f20c7ap-3,-0x0p+0,-0x1.404p-134,0
907,-0x1.37f11cp-122,-0x1.f28fcep-6,0x0p+0,0x1.2fc12p-128,1
931,-0x1.5be19p-128,-0x1.3d54cap-1,0x0p+0,0x1.af398p-130,0
944,-0x1.7306p-132,0x1.04f6ap+0,-0x0p+0,-0x1.7a38p-133,0
950,-0x1.3cf20ep-122,-0x1.5cf068p-1,0x1.b002acp-124,0x1.b002aep-124,1
954,0x1.54845ep-122,0x1.2349ep-1,0x1.8374bcp-124,0x1.8374bap-124,1
1002,-0x1.67650ep-119,-0x1.37ca6ep-1,0x1.b5b7f2p-121,0x1.b5b7f4p-121,1
1009,-0x1.3ddf1p-129,-0x1.02735cp-1,0x0p+0,0x1.40eap-131,0
1025,0x1.b6aep-132,-0x1.6bb4f6p-1,-0x0p+0,-0x1.379fp-133,0
1032,0x1.b2a3dap-117,0x1.e703dp-3,0x1.9d6e18p-120,0x1.9d6e16p-120,1
1040,-0x1.dedep-132,-0x1.337b2ap-1,0x0p+0,0x1.1f95p-133,0
1051,0x1.5678fep-106,0x1.b3f97cp-1,0x1.239eaep-107,0x1.239eacp-107,1
1061,0x1.79317ap-118,0x1.d19a4p+0,0x1.570314p-118,0x1.570312p-118,1
1073,0x1.7250b6p-126,0x1.2987aep-3,0x0p+0,0x1.ae63ep-130,1
1074,0x1.8d918p-131,0x1.48e574p+0,0x0p+0,0x1.fec7p-132,0
1083,0x1.09ce4p-131,0x1.c7666ep-3,0x0p+0,0x1.d8d8p-135,0
1091,0x1.df3d56p-114,0x1.0d11b6p-3,0x1.f7b49ep-118,0x1.f7b49cp-118,1
1105,-0x1.2e7a1p-129,0x1.d08094p-4,-0x0p+0,-0x1.126bp-133,0
1111,-0x1.3094aap-120,0x1.f7e16ep-3,-0x1.2bc026p-123,-0x1.2bc028p-123,1
1113,0x1.9587eep-118,0x1.954f94p+0,0x1.41071p-118,0x1.41070ep-118,1
1116,0x1.ec1696p-121,-0x1.79403ap-3,-0x1.6a945ep-124,-0x1.6a945cp-124,1
1119,-0x1.4b207ap-108,0x1.31e8dap+1,-0x1.8baedep-108,-0x1.8baeep-108,1
1120,0x1.9bbe5ep-123,-0x1.07c01p-1,-0x1.a8357ep-125,-0x1.a8357cp-125,1
1130,-0x1.9c5c1ep-125,0x1.10365cp-3,-0x0p+0,-0x1.b6797p-129,1
1131,0x1.93a986p-119,0x1.7b08fep-1,0x1.2ad516p-120,0x1.2ad514p-120,1
1132,-0x1.dc6e2ap-110,-0x1.fc8932p-1,0x1.d934f6p-111,0x1.d934f8p-111,1
1151,-0x1.9ea322p-121,-0x1.7b4992p+0,0x1.332954p-121,0x1.332956p-121,1
1156,0x1.8a04c8p-128,-0x1.805496p+0,-0x0p+0,-0x1.27c4a8p-128,0
1158,0x1.fded0ep-120,0x1.45cd9cp+0,0x1.447bc2p-120,0x1.447bcp-120,1
1163,0x1.35a9p-133,0x1.ecbb3ap-3,0x0p+0,0x1.2ap-136,0
1171,-0x1.e07b9p-127,0x1.59de9ep-6,-0x0p+0,-0x1.4494p-133,0
1187,0x1.0b7d2ap-125,0x1.123aaep-1,0x0p+0,0x1.1e8948p-127,1
1193,0x1.9bc194p-127,-0x1.bacdacp-4,-0x0p+0,-0x1.641b8p-131,0
1201,0x1.b179dap-114,0x1.4e3826p+0,0x1.1af608p-114,0x1.1af606p-114,1
1212,0x1.2ba0cp-129,0x1.6b1df4p-5,0x0p+0,0x1.a9p-135,0
1213,0x1.1807aap-108,-0x1.36284cp-1,-0x1.53455ep-110,-0x1.53455cp-110,1
1214,0x1.800fp-133,-0x1.d3d5f4p-1,-0x0p+0,-0x1.5efp-134,0
1218,-0x1.4d7c78p-128,0x1.e6f7bap-3,-0x0p+0,-0x1.3d2e8p-131,0
1219,-0x1.0c0106p-117,0x1.185f5cp-2,-0x1.2584f2p-120,-0x1.2584f4p-120,1
1227,0x1.4cb8bep-121,0x1.5e024cp-3,0x1.c6e792p-125,0x1.c6e79p-125,1
1229,0x1.b32012p-123,0x1.869e1ep+0,0x1.4bf7dp-123,0x1.4bf7cep-123,1
1232,0x1.9b45eap-125,0x1.2ea33p-4,0x0p+0,0x1.e632ap-130,1
1238,-0x1.1985bcp-127,0x1.40c516p+0,-0x0p+0,-0x1.60bffp-128,0
1247,0x1.438542p-108,0x1.0d0978p-5,0x1.53ffp-114,0x1.53fefep-114,1
1253,-0x1.cac9dap-108,-0x1.f394fp+0,0x1.bfa92ep-108,0x1.bfa93p-108,1
1259,-0x1.1b7c9ep-107,-0x1.9960b2p-3,0x1.c5552ap-111,0x1.c5552cp-111,1
1268,-0x1.bfd18ep-123,-0x1.1afdc4p-1,0x1.ef08bep-125,0x1.ef08cp-125,1
1280,0x1.947e12p-117,0x1.9666b4p+0,0x1.41111ep-117,0x1.41111cp-117,1
1286,-0x1.be807ap-112,-0x1.9e39fp+0,0x1.693c68p-112,0x1.693c6ap-112,1
1294,-0x1.c9ca8p-131,0x1.c40b84p-4,-0x0p+0,-0x1.943p-135,0
1329,-0x1.0a1bf6p-126,0x1.2f5936p+0,-0x1.2f5936p-126,-0x1.3b53d8p-127,1
1332,-0x1.042922p-124,0x1.13a17ap+0,-0x1.181c48p-125,-0x1.181c4ap-125,1
1337,-0x1.3fa732p-117,0x1.95e0a8p-1,-0x1.facc02p-119,-0x1.facc06p-119,1
1373,0x1.e51fb6p-118,-0x1.82b0fep-1,-0x1.6e649ep-119,-0x1.6e649cp-119,1
1381,0x1.3b0b16p-122,0x1.d9ba38p-2,0x1.237e56p-124,0x1.237e54p-124,1
1438,-0x1.8c34p-132,0x1.bcb2bep-1,-0x0p+0,-0x1.581fp-133,0
1459,-0x1.7297b2p-125,0x1.d175d4p-2,-0x0p+0,-0x1.50e81p-127,1
1466,-0x1.06660cp-119,-0x1.91d966p-8,0x0p+0,0x1.9be4bp-128,1
1472,0x1.78651ap-125,-0x1.8d9772p-1,-0x1.2449bcp-126,-0x1.2449bap-126,1
1494,-0x1.97bf5ep-119,0x1.c814cp-2,-0x1.6b36f4p-121,-0x1.6b36f6p-121,1
1503,-0x1.6f915ap-122,-0x1.51902ep-1,0x1.e4ad58p-124,0x1.e4ad5cp-124,1
1506,0x1.4a9f4p-130,0x1.1ad0d2p+1,0x0p+0,0x1.6d412p-130,0
1520,0x1.0c6a3ap-107,0x1.154e04p+0,0x1.22c0cp-108,0x1.22c0bep-108,1
1552,-0x1.149ac6p-118,-0x1.19a0b6p-1,0x1.304b86p-120,0x1.304b88p-120,1
1580,-0x1.3695bap-104,0x1.52afbcp-4,-0x1.9ae6e2p-109,-0x1.9ae6e4p-109,1
1584,0x1.a73474p-127,-0x1.7808d6p-1,-0x0p+0,-0x1.36d1dp-128,0
1589,0x1.0c6ea2p-116,-0x1.533668p-1,-0x1.63af9p-118,-0x1.63af8cp-118,1
1598,-0x1.2a0cb2p-104,0x1.bd5c46p-2,-0x1.0341bep-106,-0x1.0341cp-106,1
1605,0x1.f491b2p-113,-0x1.d0ee44p+0,-0x1.c68cfep-113,-0x1.c68cfcp-113,1
1659,0x1.d9f5c8p-127,0x1.aa4078p+0,0x0p+0,0x1.8a952cp-127,0
1689,0x1.6786b2p-120,-0x1.e2a0f6p+0,-0x1.52e6d6p-120,-0x1.52e6d4p-120,1
1693,-0x1.6ea4bap-112,-0x1.4bda6ap+0,0x1.db47cap-113,0x1.db47ccp-113,1
1699,0x1.c5da3ap-122,-0x1.a52a1ep-2,-0x1.755548p-124,-0x1.755546p-124,1
1713,0x1.0be32ap-105,-0x1.327c34p+0,-0x1.40b784p-106,-0x1.40b78p-106,1
1756,0x1.776712p-104,-0x1.068938p+0,-0x1.80fcb6p-105,-0x1.80fcb4p-105,1
1757,0x1.7e164ap-119,0x1.8f841p+0,0x1.2a24eep-119,0x1.2a24ecp-119,1
1773,0x1.e224p-132,0x1.9c484ap+0,0x0p+0,0x1.843dp-132,0
1776,0x1.3b6b14p-125,0x1.993164p-1,0x0p+0,0x1.f82aecp-127,1
1795,0x1.74725cp-126,-0x1.631676p+0,-0x1.631676p-126,-0x1.024da2p-126,1
1820,-0x1.3e78dap-110,0x1.160f82p-1,-0x1.59ea86p-112,-0x1.59ea88p-112,1
1826,-0x1.3095dap-115,-0x1.e6c278p-1,0x1.2191ecp-116,0x1.2191eep-116,1
1831,0x1.ef0feep-116,0x1.664474p-1,0x1.5a6a56p-117,0x1.5a6a54p-117,1
1850,0x1.4ce73ap-121,0x1.e982e6p-1,0x1.3e47f6p-122,0x1.3e47f4p-122,1
1863,0x1.0b0c8p-131,-0x1.00486ep+1,-0x0p+0,-0x1.0b58p-131,0
1879,0x1.ca6b92p-118,-0x1.2a7ee4p-1,-0x1.0b423ap-119,-0x1.0b4238p-119,1
1883,0x1.15ef48p-128,-0x1.e87408p-2,-0x0p+0,-0x1.0927p-130,0
1887,-0x1.f9ad18p-128,-0x1.2213fap-2,0x0p+0,0x1.1e7ecp-130,0
1895,0x1.38dceep-108,0x1.d71854p-1,0x1.1fde1cp-109,0x1.1fde1ap-109,1
1905,-0x1.68a61ap-121,0x1.963a1cp-1,-0x1.1e24a4p-122,-0x1.1e24a6p-122,1
1916,-0x1.a09cdap-108,-0x1.15aa2p+0,0x1.c3de92p-109,0x1.c3de94p-109,1
1922,-0x1.5052p-133,-0x1.7546b2p+0,0x0p+0,0x1.ea64p-134,0
1925,-0x1.da133p-126,0x1.cd78acp-1,-0x0p+0,-0x1.ab4a04p-127,1
1929,0x1.0a388cp-126,-0x1.2a357p-2,-0x0p+0,-0x1.361d6p-129,1
1936,0x1.8356d6p-112,-0x1.91dc52p-1,-0x1.300432p-113,-0x1.30043p-113,1
1937,-0x1.304f7ap-104,0x1.842e9ep-2,-0x1.cd6fdcp-107,-0x1.cd6fep-107,1
1941,-0x1.4e619ap-111,0x1.c89c1cp-3,-0x1.2a34ep-114,-0x1.2a34e2p-114,1
1944,0x1.55f782p-120,0x1.0fe02ap+1,0x1.6b2c76p-120,0x1.6b2c74p-120,1
1953,-0x1.3f4b1ap-112,-0x1.4d89d4p+0,0x1.a00096p-113,0x1.a00098p-113,1
1955,0x1.7133cep-116,-0x1.802a0ap-3,-0x1.15052cp-119,-0x1.15052ap-119,1
1961,-0x1.b00da6p-117,-0x1.5a3c64p-1,0x1.242c2ep-118,0x1.242c3p-118,1
1966,-0x1.c41e4p-130,0x1.ba5076p-1,-0x0p+0,-0x1.86954p-131,0
1975,-0x1.ac20e2p-107,-0x1.49891ep+0,0x1.138dc8p-107,0x1.138dcap-107,1
1981,-0x1.5635p-133,0x1.33315ep-1,-0x0p+0,-0x1.9aa4p-135,0
1982,0x1.d7e5d6p-125,0x1.1b93d4p-5,0x0p+0,0x1.055dcp-130,1
2009,0x1.071952p-109,-0x1.b73c86p+0,-0x1.c36aa2p-110,-0x1.c36aap-110,1
2012,-0x1.41b0b2p-119,0x1.10fb46p+0,-0x1.57077cp-120,-0x1.57077ep-120,1
2021,0x1.4ce0c6p-112,-0x1.98be16p+0,-0x1.09beb6p-112,-0x1.09beb4p-112,1
2029,-0x1.9d78c2p-126,0x1.3b6ddp-10,-0x0p+0,-0x1.fd7p-137,1
2035,0x1.1bcb9ap-116,0x1.2a37a4p+1,0x1.4a98b2p-116,0x1.4a98bp-116,1
2039,-0x1.6ebc1ep-104,0x1.538774p-1,-0x1.e66524p-106,-0x1.e66528p-106,1
2043,-0x1.1d68p-133,-0x1.89c71cp+1,0x0p+0,0x1.b703p-133,0
2046,-0x1.f68eecp-125,0x1.ff483p-2,-0x0p+0,-0x1.f5da8p-127,1
2047,-0x1.597608p-126,-0x1.e2b3d8p-1,0x0p+0,0x1.45b178p-127,1
2057,0x1.07304ap-118,-0x1.1c0c5ap+1,-0x1.240648p-118,-0x1.240644p-118,1
2063,0x1.13944p-129,-0x1.f59f58p-2,-0x0p+0,-0x1.0dfe4p-131,0
2069,0x1.11218p-131,-0x1.451ddap-3,-0x0p+0,-0x1.5aep-135,0
2070,-0x1.83a756p-120,0x1.749c64p-2,-0x1.1a1dfcp-122,-0x1.1a1dfep-122,1
2099,0x1.0ea18p-132,0x1.866c3ap-1,0x0p+0,0x1.9cbep-134,0
2113,-0x1.9cdb82p-120,0x1.736704p+0,-0x1.2b7c1ep-120,-0x1.2b7c2p-120,1
2120,0x1.89cadcp-125,0x1.18ab74p-1,0x0p+0,0x1.afbd9cp-127,1
2121,0x1.6d9366p-117,0x1.22d5e4p-1,0x1.9f526ep-119,0x1.9f526ap-119,1
2130,0x1.2645p-133,-0x1.1a3314p+0,-0x0p+0,-0x1.4462p-134,0
2155,-0x1.d09f8p-132,-0x1.a55fdp-2,0x0p+0,0x1.7e62p-134,0
2160,-0x1.717d9ap-104,-0x1.c840a8p-9,0x1.494284p-113,0x1.494286p-113,1
2172,-0x1.76468ep-106,0x1.31503cp-1,-0x1.be5f5ap-108,-0x1.be5f5cp-108,1
2181,0x1.552838p-127,0x1.a7237cp+0,0x0p+0,0x1.19f26p-127,0
2199,0x1.56dab6p-108,-0x1.4a054p-2,-0x1.b9fcfap-111,-0x1.b9fcf6p-111,1
2211,0x1.fe3a4p-131,-0x1.002fp-1,-0x0p+0,-0x1.fe98p-133,0
2226,-0x1.5bc2cap-126,-0x1.6bc6bep-3,0x0p+0,0x1.ee2b2p-130,1
2248,0x1.1ca676p-119,-0x1.2bdb6p-2,-0x1.4d6a5cp-122,-0x1.4d6a58p-122,1
2253,0x1.040e56p-104,0x1.bbf3dp-9,0x1.c2fc8p-114,0x1.c2fc7cp-114,1
2260,-0x1.e6742p-130,-0x1.027a7ap+1,0x0p+0,0x1.eb29ap-130,0
2280,0x1.186aa4p-122,0x1.a9fff6p-4,0x0p+0,0x1.d2a168p-127,1
2281,0x1.903e6ep-120,-0x1.cebae2p-2,-0x1.69ba6ep-122,-0x1.69ba6cp-122,1
2291,-0x1.9a3582p-109,-0x1.1cab8ep-2,0x1.c8264p-112,0x1.c82642p-112,1
2292,-0x1.e54faep-118,-0x1.194fb8p-2,0x1.0aa5cap-120,0x1.0aa5ccp-120,1
2306,-0x1.44b55ep-116,0x1.8f9e54p-2,-0x1.fadf7cp-119,-0x1.fadf8p-119,1
2332,0x1.3becp-132,0x1.00abdep-4,0x0p+0,0x1.3ccp-137,0
2335,0x1.9af3cp-131,-0x1.0d9886p+1,-0x0p+0,-0x1.b0c74p-131,0
2359,0x1.b1a27p-129,-0x1.68daaap+0,-0x0p+0,-0x1.319f7p-129,0
2393,0x1.5f279p-128,0x1.ea1p-3,0x0p+0,0x1.501bcp-131,0
2408,0x1.5f584p-131,0x1.911fbcp-1,0x0p+0,0x1.1342p-132,0
2415,-0x1.f9d0fep-112,-0x1.df784p+0,0x1.d9addp-112,0x1.d9add2p-112,1
2417,0x1.c5e038p-128,-0x1.529e8p-5,-0x0p+0,-0x1.2c2ep-133,0
2432,0x1.d984e6p-124,-0x1.5e6eacp+0,-0x1.441836p-124,-0x1.441834p-124,1
2440,-0x1.ad2a52p-115,-0x1.d52ec8p-1,0x1.894678p-116,0x1.89467ap-116,1
2449,-0x1.2fcf9ap-115,-0x1.42c8b8p+0,0x1.7f1152p-116,0x1.7f1154p-116,1
2491,0x1.cb71p-133,-0x1.93fce4p-4,-0x0p+0,-0x1.6a8p-137,0
2507,0x1.37ec12p-105,-0x1.b5d598p-1,-0x1.0abd2p-106,-0x1.0abd1ep-106,1
2514,-0x1.882b0ep-121,0x1.99830ep-2,-0x1.39aac4p-123,-0x1.39aac6p-123,1
2520,-0x1.5bfap-133,-0x1.6921dap-1,0x0p+0,0x1.eaep-135,0
2524,-0x1.d3c0d2p-126,-0x1.edca52p+0,0x1.edca52p-126,0x1.c31dfep-126,1
2527,-0x1.48abfp-129,-0x1.7ba8ccp-1,0x0p+0,0x1.e76f4p-131,0
2549,0x1.2f8986p-114,-0x1.95e9d6p-5,-0x1.e149d6p-120,-0x1.e149d2p-120,1
2570,-0x1.4b7582p-125,0x1.4aa9ccp+0,-0x1.ac215p-126,-0x1.ac2152p-126,1
2574,0x1.b00362p-117,-0x1.480182p+1,-0x1.14c372p-116,-0x1.14c37p-116,1
2578,0x1.8ec4p-133,0x1.65b674p+0,0x0p+0,0x1.169ap-133,0
2592,-0x1.2beebcp-127,-0x1.0e1636p-1,0x0p+0,0x1.3c6fdp-129,0
2596,-0x1.0d4512p-118,-0x1.7659fcp-2,0x1.89c18cp-121,0x1.89c18ep-121,1
2604,0x1.9665bap-125,-0x1.2b5baep+0,-0x1.db3a5cp-126,-0x1.db3a5ap-126,1
2612,0x1.affdp-131,-0x1.55b8ap-1,-0x0p+0,-0x1.2052p-132,0
2616,-0x1.0fc756p-126,0x1.f742fcp-1,-0x0p+0,-0x1.0b23e4p-127,1
2654,-0x1.aefb26p-126,-0x1.32226cp-2,0x0p+0,0x1.01b118p-128,1
2661,0x1.047b58p-127,0x1.8001d2p-4,0x0p+0,0x1.86bbp-132,0
2665,0x1.13928p-132,0x1.6235e4p+1,0x0p+0,0x1.7d4ap-132,0
2681,0x1.55ce92p-115,0x1.ab55bep-3,0x1.1d4906p-118,0x1.1d4904p-118,1
2703,0x1.2ba4d4p-126,-0x1.611158p+0,-0x1.611158p-126,-0x1.9d4294p-127,1
2718,0x1.0a57ep-130,0x1.bdd38cp-2,0x0p+0,0x1.cfd7p-133,0
2734,-0x1.1e5cep-123,-0x1.6d4ef6p-4,0x0p+0,0x1.98a2cp-128,1
2738,0x1.135e7ap-109,0x1.838d18p-1,0x1.a0df9ap-111,0x1.a0df98p-111,1
2756,-0x1.bb0dep-129,-0x1.8ba82p-2,0x0p+0,0x1.5660cp-131,0
2768,-0x1.9cb6b8p-127,-0x1.197b2p+0,0x0p+0,0x1.c5cb1p-128,0
2798,-0x1.947c86p-106,-0x1.47d09ap+0,0x1.02fa52p-106,0x1.02fa54p-106,1
2803,-0x1.64e624p-127,-0x1.45a4ap-1,0x0p+0,0x1.c5fdbp-129,0
2817,-0x1.a88dcap-113,-0x1.dda82cp-1,0x1.8c138ap-114,0x1.8c138cp-114,1
2834,0x1.471c92p-105,0x1.11b47ep+0,0x1.5dbc1ap-106,0x1.5dbc18p-106,1
2859,0x1.025da4p-127,-0x1.729e1ep+0,-0x0p+0,-0x1.760ae8p-128,0
2860,0x1.7e9212p-104,0x1.4b0e7cp-1,0x1.eebc86p-106,0x1.eebc82p-106,1
2861,0x1.26cedap-122,0x1.6c56a4p-1,0x1.a391e8p-124,0x1.a391e4p-124,1
2867,0x1.d22b8p-132,0x1.5a50fcp-1,0x0p+0,0x1.3b51p-133,0
2881,-0x1.ea624p-131,-0x1.ac41b4p-1,0x0p+0,0x1.9a2dp-132,0
2882,0x1.991a8p-131,0x1.a64a86p-1,0x0p+0,0x1.516c8p-132,0
2891,0x1.e11d96p-124,0x1.208fdcp-1,0x1.0f27d4p-125,0x1.0f27d2p-125,1
2893,-0x1.13f392p-107,-0x1.46886ap-1,0x1.5ffb36p-109,0x1.5ffb38p-109,1
2897,-0x1.577d56p-111,-0x1.f8c4cp+0,0x1.52a35ep-111,0x1.52a36p-111,1
2913,0x1.1f7ea6p-111,0x1.b4defep-1,0x1.ea9e24p-113,0x1.ea9e2p-113,1
2915,-0x1.997a58p-127,-0x1.260b66p+0,0x0p+0,0x1.d654cp-128,0
2958,-0x1.2a9b86p-123,-0x1.157f42p+0,0x1.43aeb6p-124,0x1.43aeb8p-124,1
2959,0x1.661f8p-130,0x1.103e96p-3,0x0p+0,0x1.7cdap-134,0
2960,0x1.81feaap-105,-0x1.108d88p-1,-0x1.9af3fep-107,-0x1.9af3fap-107,1
2968,-0x1.d84582p-106,-0x1.48070ep+0,0x1.2e9308p-106,0x1.2e930ap-106,1
2977,-0x1.0e34p-131,0x1.cef648p+0,-0x0p+0,-0x1.e8a6p-132,0
2986,0x1.16d5ap-127,0x1.822254p-2,0x0p+0,0x1.a4938p-130,0
2995,0x1.f640cp-130,0x1.c97d2cp-2,0x0p+0,0x1.c0c78p-132,0
3004,0x1.866ddap-111,0x1.5f288ap-5,0x1.0bc73ap-116,0x1.0bc738p-116,1
3015,-0x1.aa76p-133,0x1.f56d48p-1,-0x0p+0,-0x1.a1a8p-134,0
3089,0x1.0549cp-130,-0x1.a6d846p+0,-0x0p+0,-0x1.af944p-131,0
3093,0x1.19308p-131,-0x1.3e6938p-1,-0x0p+0,-0x1.5dbep-133,0
