mode=file_backed file=/data/data/com.termux/files/home/moe/ufs.bin oom_score_adj=50 MemTotal_MB=11099 SwapTotal_MB=12287
held_MB,chunk_s,fill_MBps,VmRSS_MB,VmSwap_MB,MemAvailable_MB,SwapFree_MB,stop_reason
256,0.144,1779,259,0,5111,6125,
512,0.146,1750,515,0,5110,6125,
768,0.146,1759,771,0,5109,6125,
1024,0.135,1903,1027,0,5109,6125,
1280,0.138,1858,1283,0,5107,6125,
1536,0.135,1890,1539,0,5107,6126,
1792,0.131,1949,1795,0,5106,6126,
2048,0.129,1983,2051,0,5105,6126,
2304,0.127,2022,2307,0,5105,6126,
2560,0.128,2005,2563,0,5105,6126,
2816,0.128,2004,2819,0,5104,6127,
3072,0.123,2083,3075,0,5102,6127,
3328,0.140,1827,3331,0,5101,6127,
3584,0.143,1787,3587,0,5100,6127,
3840,0.142,1800,3843,0,5099,6127,
4096,0.127,2015,4099,0,5117,6125,
4352,1.028,249,4355,0,5217,6058,
4608,0.542,473,4453,0,5243,6023,
4864,0.223,1149,4572,0,5245,6018,
5120,0.337,760,4591,0,5252,6007,
5376,0.288,888,4639,0,5260,5994,rss_plateau
max_VmRSS_MB=4639 chunks=21 mode=file_backed
