mode=file_backed file=/data/data/com.termux/files/home/moe/ufs.bin oom_score_adj=50 MemTotal_MB=11099 SwapTotal_MB=12287
held_MB,chunk_s,fill_MBps,VmRSS_MB,VmSwap_MB,MemAvailable_MB,SwapFree_MB,stop_reason
256,0.125,2046,259,0,6507,11365,
512,0.107,2387,515,0,6506,11365,
768,0.104,2460,771,0,6505,11365,
1024,0.102,2518,1027,0,6504,11365,
1280,0.098,2609,1283,0,6503,11365,
1536,0.097,2646,1539,0,6502,11365,
1792,0.093,2767,1795,0,6501,11365,
2048,0.107,2393,2051,0,6627,11364,
2304,0.120,2136,2307,0,6629,11360,
2560,0.120,2133,2563,0,6631,11355,
2816,0.114,2240,2819,0,6634,11350,
3072,0.235,1088,3075,0,6643,11340,
3328,0.287,893,3331,0,6654,11325,
3584,0.288,887,3519,0,6667,11309,
3840,0.182,1406,3564,0,6674,11301,
4096,0.159,1609,3692,0,6682,11294,
4352,0.197,1300,3837,0,6687,11288,
4608,0.188,1361,3918,0,6689,11283,
4864,0.153,1677,4002,0,6693,11280,
5120,0.153,1677,4056,0,6696,11275,
5376,0.142,1805,4025,0,6697,11273,rss_plateau
max_VmRSS_MB=4056 chunks=21 mode=file_backed
