NOTE: no readable battery power rail; power_w is NaN and J/GB is NOT measurable on this device.
repeat,mode,pattern,size_kb,threads,bytes,seconds,MBps,iops,lat_p50_us,lat_p99_us,errors,first_errno,power_w,temp_start_c,temp_end_c,temp_zone
1,direct,rand,4096,2,5251268608,2.0021,2622.90,625.3,3189.3,3929.4,0,0,nan,58.0,58.6,pm8550_tz
1,direct,rand,4096,4,5234491392,2.0067,2608.55,621.9,6387.7,7833.2,0,0,nan,58.6,58.6,pm8550_tz
1,direct,rand,4096,8,5049942016,2.0132,2508.41,598.1,13325.9,14943.6,0,0,nan,58.4,58.6,pm8550_tz
1,direct,seq,64,1,2364538880,2.0003,1182.10,18037.4,52.2,146.4,0,0,nan,58.4,57.2,pm8550_tz
1,direct,seq,64,2,1842020352,2.0002,920.92,14052.1,139.8,189.3,0,0,nan,57.1,56.4,pm8550_tz
1,direct,seq,64,4,3081371648,2.0003,1540.45,23505.4,166.6,254.7,0,0,nan,56.5,56.9,pm8550_tz
1,direct,seq,64,8,4287954944,2.0005,2143.40,32705.7,233.7,422.9,0,0,nan,56.7,57.8,pm8550_tz
1,direct,seq,128,1,3378511872,2.0002,1689.11,12886.9,71.2,209.9,0,0,nan,57.6,57.3,pm8550_tz
1,direct,seq,128,2,2361655296,2.0002,1180.71,9008.1,212.6,299.1,0,0,nan,57.2,56.8,pm8550_tz
1,direct,seq,128,4,4145414144,2.0003,2072.38,15811.0,247.2,392.3,0,0,nan,56.8,57.7,pm8550_tz
1,direct,seq,128,8,5438963712,2.0006,2718.73,20742.3,375.9,650.7,0,0,nan,57.5,58.7,pm8550_tz
1,direct,seq,256,1,4071620608,2.0002,2035.63,7765.3,117.0,285.9,0,0,nan,58.6,58.2,pm8550_tz
1,direct,seq,256,2,3825205248,2.0003,1912.34,7295.0,271.6,397.9,0,0,nan,58.1,58.3,pm8550_tz
1,direct,seq,256,4,5389680640,2.0004,2694.31,10278.0,377.0,659.8,0,0,nan,58.2,58.8,pm8550_tz
1,direct,seq,256,8,5487198208,2.0009,2742.36,10461.3,754.7,1143.3,0,0,nan,58.7,59.3,pm8550_tz
1,direct,seq,512,1,4780457984,2.0003,2389.91,4558.4,196.4,464.8,0,0,nan,59.2,58.7,pm8550_tz
1,direct,seq,512,2,4551868416,2.0004,2275.44,4340.1,440.3,668.1,0,0,nan,58.6,59.0,pm8550_tz
1,direct,seq,512,4,5462032384,2.0009,2729.79,5206.7,753.4,1132.4,0,0,nan,58.7,59.2,pm8550_tz
1,direct,seq,512,8,5491916800,2.0016,2743.76,5233.3,1511.1,2072.2,0,0,nan,59.1,59.6,pm8550_tz
1,direct,seq,1024,1,5117050880,2.0005,2557.82,2439.3,371.0,794.3,0,0,nan,59.4,58.9,pm8550_tz
1,direct,seq,1024,2,4999610368,2.0009,2498.62,2382.9,828.5,1368.1,0,0,nan,58.8,59.3,pm8550_tz
1,direct,seq,1024,4,5611978752,2.0014,2803.98,2674.1,1489.4,1980.9,0,0,nan,59.0,59.5,pm8550_tz
1,direct,seq,1024,8,5457838080,2.0030,2724.84,2598.6,3061.5,3624.9,0,0,nan,59.4,59.7,pm8550_tz
1,direct,seq,2048,1,6018826240,2.0004,3008.86,1434.7,624.5,1381.5,0,0,nan,59.5,59.5,pm8550_tz
1,direct,seq,2048,2,5184159744,2.0010,2590.79,1235.4,1576.6,2373.6,0,0,nan,59.3,59.5,pm8550_tz
1,direct,seq,2048,4,4913627136,2.0037,2452.32,1169.4,3399.3,4120.4,0,0,nan,59.4,59.0,pm8550_tz
1,direct,seq,2048,8,4882169856,2.0078,2431.55,1159.5,6855.3,7934.1,0,0,nan,59.0,59.0,pm8550_tz
1,direct,seq,4096,1,6115295232,2.0014,3055.52,728.5,1151.7,2269.2,0,0,nan,58.9,59.3,pm8550_tz
1,direct,seq,4096,2,5154799616,2.0033,2573.13,613.5,3274.1,3984.6,0,0,nan,59.1,59.3,pm8550_tz
1,direct,seq,4096,4,5721030656,2.0054,2852.87,680.2,5849.9,6904.3,0,0,nan,59.3,59.4,pm8550_tz
1,direct,seq,4096,8,5104467968,2.0100,2539.59,605.5,13189.2,14599.7,0,0,nan,59.2,59.3,pm8550_tz
1,buffered,rand,4,1,85438464,2.0002,42.72,10428.7,91.7,144.2,0,0,nan,59.0,56.6,pm8550_tz
1,buffered,rand,4,2,181989376,2.0002,90.98,22213.1,84.6,153.3,0,0,nan,56.4,55.5,pm8550_tz
1,buffered,rand,4,4,347017216,2.0003,173.48,42354.0,87.1,176.7,0,0,nan,55.4,57.5,qmx-1-1
1,buffered,rand,4,8,553746432,2.0006,276.80,67577.2,112.1,226.6,0,0,nan,56.7,60.6,qmx-1-0
1,buffered,rand,8,1,157237248,2.0002,78.61,9596.2,99.8,150.6,0,0,nan,59.0,54.8,pm8550_tz
1,buffered,rand,8,2,328007680,2.0002,163.99,20017.9,94.0,169.6,0,0,nan,54.7,56.3,qmx-1-0
