mode=file_backed file=/data/data/com.termux/files/home/moe/ufs.bin oom_score_adj=50 MemTotal_MB=11099 SwapTotal_MB=12287
held_MB,chunk_s,fill_MBps,VmRSS_MB,VmSwap_MB,MemAvailable_MB,SwapFree_MB,stop_reason
256,0.233,1100,258,0,2101,7709,
512,0.448,572,514,0,2163,7657,
768,0.680,376,747,0,2210,7591,
1024,0.564,454,915,0,2267,7534,
1280,0.476,538,1055,0,2319,7461,
1536,0.389,658,1149,0,2353,7420,
1792,0.470,545,1286,0,2390,7378,
2048,0.129,1988,1343,0,2395,7368,
2304,0.651,394,1461,0,2461,7284,
2560,0.394,650,1516,0,2484,7254,
2816,0.166,1544,1589,0,2491,7244,
3072,0.495,517,1633,0,2523,7219,
3328,0.451,567,1702,0,2557,7174,
3584,0.264,969,1753,0,2571,7157,
3840,0.463,553,1796,0,2603,7120,rss_plateau
max_VmRSS_MB=1796 chunks=15 mode=file_backed
