mode=file_backed file=/data/data/com.termux/files/home/moe/ufs.bin oom_score_adj=50 MemTotal_MB=11099 SwapTotal_MB=12287
held_MB,chunk_s,fill_MBps,VmRSS_MB,VmSwap_MB,MemAvailable_MB,SwapFree_MB,stop_reason
256,0.133,1918,259,0,5044,6200,
512,0.144,1777,515,0,5044,6200,
768,0.145,1767,771,0,5044,6201,
1024,0.136,1883,1027,0,5043,6202,
1280,0.137,1874,1283,0,5043,6202,
1536,0.139,1848,1539,0,5043,6202,
1792,0.132,1937,1795,0,5043,6202,
2048,0.130,1973,2051,0,5043,6202,
2304,0.129,1981,2307,0,5043,6202,
2560,0.129,1992,2563,0,5043,6202,
2816,0.127,2015,2819,0,5043,6202,
3072,0.130,1966,3075,0,5043,6202,
3328,0.143,1793,3331,0,5044,6202,
3584,0.134,1908,3587,0,5050,6202,
3840,0.137,1873,3843,0,5087,6201,
4096,0.248,1033,4099,0,5118,6192,
4352,0.906,282,4344,0,5163,6146,
4608,0.235,1091,4440,0,5168,6138,
4864,0.235,1088,4481,0,5173,6133,
5120,0.295,866,4487,0,5177,6124,rss_plateau
max_VmRSS_MB=4487 chunks=20 mode=file_backed
