oom_score_adj=50 MemTotal_MB=11099 SwapTotal_MB=12287
held_MB,chunk_s,fill_MBps,VmRSS_MB,VmSwap_MB,MemAvailable_MB,SwapFree_MB,stop_reason
256,0.238,1075,259,0,4112,7140,
512,0.206,1240,515,0,3856,7140,
768,0.201,1273,771,0,3599,7140,
1024,0.198,1292,1027,0,3343,7140,
1280,0.199,1285,1283,0,3087,7140,
1536,0.213,1204,1539,0,2830,7140,
1792,0.207,1237,1795,0,2573,7140,
2048,0.202,1269,2051,0,2317,7140,
2304,0.458,559,2307,0,2139,7112,
2560,0.946,271,2451,112,1967,7047,
2816,1.474,174,2381,437,1849,6629,
3072,2.500,102,1967,1108,1688,5820,rss_plateau
max_VmRSS_MB=2451 chunks=12
