mode=file_backed file=/data/data/com.termux/files/home/moe/ufs.bin oom_score_adj=50 MemTotal_MB=11099 SwapTotal_MB=12287
held_MB,chunk_s,fill_MBps,VmRSS_MB,VmSwap_MB,MemAvailable_MB,SwapFree_MB,stop_reason
256,0.111,2309,259,0,6313,10985,
512,0.095,2708,515,0,6312,10977,
768,0.084,3052,771,0,6311,10971,
1024,0.085,2998,1027,0,6311,10971,
1280,0.088,2908,1283,0,6311,10971,
1536,0.095,2681,1539,0,6333,10971,
1792,0.102,2509,1795,0,6333,10971,
2048,0.102,2503,2051,0,6334,10971,
2304,0.100,2566,2307,0,6332,10971,
2560,0.099,2584,2563,0,6332,10971,
2816,0.098,2621,2819,0,6332,10972,
3072,0.094,2737,3075,0,6332,10972,
3328,0.090,2832,3331,0,6332,10971,
3584,0.146,1750,3587,0,6354,10957,
3840,0.146,1756,3843,0,6486,10950,
4096,0.168,1523,4099,0,6621,10941,
4352,0.311,824,4355,0,6646,10912,
4608,0.656,390,4611,0,6700,10845,
4864,0.193,1329,4867,0,6709,10833,
5120,0.271,943,4968,0,6724,10812,
5376,0.298,859,5018,0,6739,10789,
5632,0.258,992,4999,0,6754,10771,rss_plateau
max_VmRSS_MB=5018 chunks=22 mode=file_backed
