tag,model,threads,n_gen,rep,mode,resident_after_drop,t_wall_s,read_bytes,rchar,max_vmrss_kb,max_rssfile_kb,tg_tok_s,memavail_kb_start,batt_level,batt_temp_dC,exit,cpu_s,memavail_kb_min
olmoe-1b-7b-0924-q4_0_t1_n64_r1_warm,olmoe-1b-7b-0924-q4_0.gguf,1,64,1,warm,NA,20.6847,7022923776,2061869,5204628,3840388,9.755421,5542700,,,0,16.63,1992296
olmoe-1b-7b-0924-q4_0_t1_n320_r1_warm,olmoe-1b-7b-0924-q4_0.gguf,1,320,1,warm,NA,32.9856,6664839168,2061869,5620152,3840492,15.627218,5833056,,,0,28.22,2023016
