# compute_trace v1
# model=/data/local/tmp/moe-stream/Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_threads=4 io_threads=4 o_direct=1 overlap=1
turn,phase,step,seq,layer,op,name,wall_ns,majflt
0,1,34,5,2,LAYER,blk.2,10820677,2856
0,1,34,6,2,LAYER,blk.2,13128177,0
0,1,34,7,3,LAYER,blk.3,5247240,2859
0,1,34,8,3,LAYER,blk.3,10771979,0
0,1,34,9,4,LAYER,blk.4,11018177,2843
0,1,34,10,4,LAYER,blk.4,9415260,0
0,1,34,11,5,LAYER,blk.5,7155781,2807
0,1,34,12,5,LAYER,blk.5,10126042,0
0,1,34,13,6,LAYER,blk.6,2703490,711
0,1,34,14,6,LAYER,blk.6,9178021,0
0,1,34,15,7,LAYER,blk.7,842552,18
0,1,34,16,7,LAYER,blk.7,9825260,0
0,1,34,17,8,LAYER,blk.8,973229,18
0,1,34,18,8,LAYER,blk.8,9770521,0
0,1,34,19,9,LAYER,blk.9,1008646,18
0,1,34,20,9,LAYER,blk.9,8904010,0
0,1,34,21,10,LAYER,blk.10,1019427,18
0,1,34,22,10,LAYER,blk.10,8356094,0
0,1,34,23,11,LAYER,blk.11,1006563,18
0,1,34,24,11,LAYER,blk.11,8474687,0
0,1,34,25,12,LAYER,blk.12,1226875,14
0,1,34,26,12,LAYER,blk.12,8768073,0
0,1,34,27,13,LAYER,blk.13,794271,10
0,1,34,28,13,LAYER,blk.13,9973489,0
0,1,34,29,14,LAYER,blk.14,1765625,9
0,1,34,30,14,LAYER,blk.14,8280209,0
0,1,34,31,15,LAYER,blk.15,645208,10
0,1,34,32,15,LAYER,blk.15,8887865,0
0,1,34,33,16,LAYER,blk.16,627239,10
0,1,34,34,16,LAYER,blk.16,8209844,0
0,1,34,35,17,LAYER,blk.17,1140729,9
0,1,34,36,17,LAYER,blk.17,4936406,0
0,1,34,37,18,LAYER,blk.18,1620782,9
0,1,34,38,18,LAYER,blk.18,2954218,0
0,1,34,39,19,LAYER,blk.19,825052,10
0,1,34,40,19,LAYER,blk.19,1199688,0
0,1,34,41,20,LAYER,blk.20,819844,10
0,1,34,42,20,LAYER,blk.20,3146041,0
0,1,34,43,21,LAYER,blk.21,717605,9
0,1,34,44,21,LAYER,blk.21,2129739,0
0,1,34,45,22,LAYER,blk.22,702031,10
0,1,34,46,22,LAYER,blk.22,2707657,0
0,1,34,47,23,LAYER,blk.23,735885,10
0,1,34,48,23,LAYER,blk.23,2742969,0
0,1,34,49,24,LAYER,blk.24,733698,10
0,1,34,50,24,LAYER,blk.24,3216614,0
0,1,34,51,25,LAYER,blk.25,1034948,10
0,1,34,52,25,LAYER,blk.25,3865886,0
0,1,34,53,26,LAYER,blk.26,729583,9
0,1,34,54,26,LAYER,blk.26,2298646,0
0,1,34,55,27,LAYER,blk.27,763958,10
0,1,34,56,27,LAYER,blk.27,2140313,0
0,1,34,57,28,LAYER,blk.28,615312,0
0,1,34,58,28,LAYER,blk.28,3863386,0
0,1,34,59,29,LAYER,blk.29,770937,9
0,1,34,60,29,LAYER,blk.29,2084219,0
0,1,34,61,30,LAYER,blk.30,714166,0
0,1,34,62,30,LAYER,blk.30,1205886,0
0,1,34,63,31,LAYER,blk.31,766146,0
0,1,34,64,31,LAYER,blk.31,1100573,0
0,1,34,65,32,LAYER,blk.32,652604,0
0,1,34,66,32,LAYER,blk.32,2792708,0
0,1,34,67,33,LAYER,blk.33,597396,0
0,1,34,68,33,LAYER,blk.33,2177135,0
0,1,34,69,34,LAYER,blk.34,591667,0
0,1,34,70,34,LAYER,blk.34,2306198,0
0,1,34,71,35,LAYER,blk.35,575573,0
0,1,34,72,35,LAYER,blk.35,2813437,0
0,1,34,73,36,LAYER,blk.36,557500,0
0,1,34,74,36,LAYER,blk.36,1014948,0
0,1,34,75,37,LAYER,blk.37,557865,0
0,1,34,76,37,LAYER,blk.37,2238385,0
0,1,34,77,38,LAYER,blk.38,574792,0
0,1,34,78,38,LAYER,blk.38,3052865,0
0,1,34,79,39,LAYER,blk.39,585833,0
0,1,34,80,39,LAYER,blk.39,1848125,0
0,1,34,81,40,LAYER,blk.40,564219,0
0,1,34,82,40,LAYER,blk.40,1063281,0
0,1,34,83,41,LAYER,blk.41,585937,0
0,1,34,84,41,LAYER,blk.41,1064375,0
0,1,34,85,42,LAYER,blk.42,609948,0
0,1,34,86,42,LAYER,blk.42,1108959,0
0,1,34,87,43,LAYER,blk.43,591145,0
0,1,34,88,43,LAYER,blk.43,2523386,0
0,1,34,89,44,LAYER,blk.44,502812,0
0,1,34,90,44,LAYER,blk.44,1000469,0
0,1,34,91,45,LAYER,blk.45,505313,0
0,1,34,92,45,LAYER,blk.45,2459427,0
0,1,34,93,46,LAYER,blk.46,521093,0
0,1,34,94,46,LAYER,blk.46,1008855,0
0,1,34,95,47,LAYER,blk.47,537239,0
0,1,34,96,-1,LAYER,post,18400781,0
0,1,35,0,-1,LAYER,pre,79115,1
0,1,35,1,0,LAYER,blk.0,525208,0
0,1,35,2,0,LAYER,blk.0,8456458,0
0,1,35,3,1,LAYER,blk.1,516094,0
0,1,35,4,1,LAYER,blk.1,2089948,0
0,1,35,5,2,LAYER,blk.2,663281,0
0,1,35,6,2,LAYER,blk.2,8392396,0
0,1,35,7,3,LAYER,blk.3,666771,0
0,1,35,8,3,LAYER,blk.3,8417500,0
0,1,35,9,4,LAYER,blk.4,681667,0
0,1,35,10,4,LAYER,blk.4,10567448,0
0,1,35,11,5,LAYER,blk.5,458229,0
0,1,35,12,5,LAYER,blk.5,7313802,0
0,1,35,13,6,LAYER,blk.6,524010,0
0,1,35,14,6,LAYER,blk.6,6304636,0
0,1,35,15,7,LAYER,blk.7,563489,0
0,1,35,16,7,LAYER,blk.7,7552761,0
0,1,35,17,8,LAYER,blk.8,625260,0
0,1,35,18,8,LAYER,blk.8,8181302,0
0,1,35,19,9,LAYER,blk.9,740417,0
0,1,35,20,9,LAYER,blk.9,4906719,0
0,1,35,21,10,LAYER,blk.10,752604,0
0,1,35,22,10,LAYER,blk.10,6419687,0
0,1,35,23,11,LAYER,blk.11,612396,0
0,1,35,24,11,LAYER,blk.11,6116458,0
0,1,35,25,12,LAYER,blk.12,616459,0
0,1,35,26,12,LAYER,blk.12,5039166,0
0,1,35,27,13,LAYER,blk.13,588594,0
0,1,35,28,13,LAYER,blk.13,5461719,0
0,1,35,29,14,LAYER,blk.14,679844,0
0,1,35,30,14,LAYER,blk.14,6470468,0
0,1,35,31,15,LAYER,blk.15,649688,0
0,1,35,32,15,LAYER,blk.15,7891250,0
0,1,35,33,16,LAYER,blk.16,627239,0
0,1,35,34,16,LAYER,blk.16,4475730,0
0,1,35,35,17,LAYER,blk.17,674843,0
0,1,35,36,17,LAYER,blk.17,4815052,0
0,1,35,37,18,LAYER,blk.18,702865,0
0,1,35,38,18,LAYER,blk.18,5796823,0
0,1,35,39,19,LAYER,blk.19,822656,0
0,1,35,40,19,LAYER,blk.19,5357083,0
0,1,35,41,20,LAYER,blk.20,640625,0
0,1,35,42,20,LAYER,blk.20,2807344,0
0,1,35,43,21,LAYER,blk.21,650313,0
0,1,35,44,21,LAYER,blk.21,1214062,0
0,1,35,45,22,LAYER,blk.22,623125,0
0,1,35,46,22,LAYER,blk.22,1204167,0
0,1,35,47,23,LAYER,blk.23,631771,0
0,1,35,48,23,LAYER,blk.23,2215208,0
0,1,35,49,24,LAYER,blk.24,652760,0
0,1,35,50,24,LAYER,blk.24,2407448,0
0,1,35,51,25,LAYER,blk.25,567969,0
0,1,35,52,25,LAYER,blk.25,1061406,0
0,1,35,53,26,LAYER,blk.26,571146,0
0,1,35,54,26,LAYER,blk.26,1015365,0
0,1,35,55,27,LAYER,blk.27,575052,0
0,1,35,56,27,LAYER,blk.27,1055364,0
0,1,35,57,28,LAYER,blk.28,561407,0
0,1,35,58,28,LAYER,blk.28,2836875,0
0,1,35,59,29,LAYER,blk.29,542343,0
0,1,35,60,29,LAYER,blk.29,2129844,0
0,1,35,61,30,LAYER,blk.30,525000,0
0,1,35,62,30,LAYER,blk.30,2088490,0
0,1,35,63,31,LAYER,blk.31,523750,0
0,1,35,64,31,LAYER,blk.31,1731979,1
0,1,35,65,32,LAYER,blk.32,567135,0
0,1,35,66,32,LAYER,blk.32,1119011,0
