tag,model,threads,n_gen,rep,mode,resident_after_drop,t_wall_s,read_bytes,rchar,max_vmrss_kb,max_rssfile_kb,tg_tok_s,memavail_kb_start,batt_level,batt_temp_dC,exit,cpu_s,memavail_kb_min,majflt,extra
olmoe-1b-7b-0924-q4_0_t4_n64_r1_warm_C_0x0F_cpu_strict_1,olmoe-1b-7b-0924-q4_0.gguf,4,64,1,warm,NA,16.5764,5933432832,2061869,5658132,3840204,18.219021,5921108,,,0,23.81,2238508,444090,"-C 0x0F --cpu-strict 1"
olmoe-1b-7b-0924-q4_0_t4_n320_r1_warm_C_0x0F_cpu_strict_1,olmoe-1b-7b-0924-q4_0.gguf,4,320,1,warm,NA,22.9955,5725483008,2061869,5926884,3840784,29.419726,6036428,,,0,51.33,2088860,539643,"-C 0x0F --cpu-strict 1"
