tag,model,threads,n_gen,rep,mode,resident_after_drop,t_wall_s,read_bytes,rchar,max_vmrss_kb,max_rssfile_kb,tg_tok_s,memavail_kb_start,batt_level,batt_temp_dC,exit
olmoe-1b-7b-0924-q4_0_t4_n64_r1_cold,olmoe-1b-7b-0924-q4_0.gguf,4,64,1,cold,0.0000,49.5527,12214546432,2061869,2936404,1765088,3.869954,3354132,,,0
olmoe-1b-7b-0924-q4_0_t4_n320_r1_cold,olmoe-1b-7b-0924-q4_0.gguf,4,320,1,cold,0.0000,68.0932,12015140864,2061869,4196092,3578156,8.080139,4775180,,,0
olmoe-1b-7b-0924-q4_0_t4_n64_r2_cold,olmoe-1b-7b-0924-q4_0.gguf,4,64,2,cold,0.0000,40.383,10670182400,2061869,4064040,3564244,5.006760,4994540,,,0
olmoe-1b-7b-0924-q4_0_t4_n320_r2_cold,olmoe-1b-7b-0924-q4_0.gguf,4,320,2,cold,0.0000,92.4607,16107360256,2061869,4382348,3840884,4.887545,4890340,,,0
olmoe-1b-7b-0924-q4_0_t4_n64_r3_cold,olmoe-1b-7b-0924-q4_0.gguf,4,64,3,cold,0.0000,49.5842,10686390272,2061869,4348884,3718816,2.868636,5322524,,,0
olmoe-1b-7b-0924-q4_0_t4_n320_r3_cold,olmoe-1b-7b-0924-q4_0.gguf,4,320,3,cold,0.0000,218.893,12315152384,2061869,4434712,3794600,1.652472,5357116,,,0
