tag,model,threads,n_gen,rep,mode,resident_after_drop,t_wall_s,read_bytes,rchar,max_vmrss_kb,max_rssfile_kb,tg_tok_s,memavail_kb_start,batt_level,batt_temp_dC,exit,cpu_s,memavail_kb_min,majflt,extra
olmoe-1b-7b-0924-q4_0_t8_n64_r1_warm_C_0xFF_cpu_strict_1,olmoe-1b-7b-0924-q4_0.gguf,8,64,1,warm,NA,25.4862,6172721152,2061869,5634992,3840440,5.101144,5908600,,,0,87.61,2077004,493140,"-C 0xFF --cpu-strict 1"
olmoe-1b-7b-0924-q4_0_t8_n320_r1_warm_C_0xFF_cpu_strict_1,olmoe-1b-7b-0924-q4_0.gguf,8,320,1,warm,NA,38.7815,6695387136,2061869,5584716,3840436,12.888818,5922960,,,0,176.06,2040520,549389,"-C 0xFF --cpu-strict 1"
