tag,model,threads,n_gen,rep,mode,resident_after_drop,t_wall_s,read_bytes,rchar,max_vmrss_kb,max_rssfile_kb,tg_tok_s,memavail_kb_start,batt_level,batt_temp_dC,exit,cpu_s,memavail_kb_min,majflt,extra
olmoe-1b-7b-0924-q4_0_t8_n64_r1_warm_C_0xFF_cpu_strict_1,olmoe-1b-7b-0924-q4_0.gguf,8,64,1,warm,NA,28.4112,6683111424,2061869,5794888,3840692,6.570450,5805104,,,0,77.1,2151284,538297,"-C 0xFF --cpu-strict 1"
olmoe-1b-7b-0924-q4_0_t8_n320_r1_warm_C_0xFF_cpu_strict_1,olmoe-1b-7b-0924-q4_0.gguf,8,320,1,warm,NA,28.1529,6599499776,2061869,5588828,3840692,19.212285,5922864,,,0,120.53,2052348,569405,"-C 0xFF --cpu-strict 1"
