tag,model,threads,n_gen,rep,mode,resident_after_drop,t_wall_s,read_bytes,rchar,max_vmrss_kb,max_rssfile_kb,tg_tok_s,memavail_kb_start,batt_level,batt_temp_dC,exit,cpu_s,memavail_kb_min,majflt,extra
olmoe-1b-7b-0924-q4_0_t2_n64_r1_warm_C_0xC0_cpu_strict_1,olmoe-1b-7b-0924-q4_0.gguf,2,64,1,warm,NA,15.8495,5831630848,2061869,5858988,3840696,14.745412,6012984,,,0,15.65,2229900,428785,"-C 0xC0 --cpu-strict 1"
olmoe-1b-7b-0924-q4_0_t2_n320_r1_warm_C_0xC0_cpu_strict_1,olmoe-1b-7b-0924-q4_0.gguf,2,320,1,warm,NA,26.4326,6193201152,2061869,5844828,3840768,24.556862,6041260,,,0,33.72,2066104,549337,"-C 0xC0 --cpu-strict 1"
