tag,model,threads,n_gen,rep,mode,resident_after_drop,t_wall_s,read_bytes,rchar,max_vmrss_kb,max_rssfile_kb,tg_tok_s,memavail_kb_start,batt_level,batt_temp_dC,exit
olmoe-1b-7b-0924-q4_0_t4_n64_r1_cold,olmoe-1b-7b-0924-q4_0.gguf,4,64,1,cold,0.0000,22.4278,10142294016,2061869,3817844,2434952,13.128517,4418676,,,0
olmoe-1b-7b-0924-q4_0_t4_n320_r1_cold,olmoe-1b-7b-0924-q4_0.gguf,4,320,1,cold,0.0000,135.879,10071736320,2061869,5239340,3840548,2.620439,5783344,,,0
olmoe-1b-7b-0924-q4_0_t4_n64_r2_cold,olmoe-1b-7b-0924-q4_0.gguf,4,64,2,cold,0.0000,20.338,8304009216,2061869,5287780,3840432,11.657430,5654764,,,0
olmoe-1b-7b-0924-q4_0_t4_n320_r2_cold,olmoe-1b-7b-0924-q4_0.gguf,4,320,2,cold,0.0000,113.301,9294581760,2061869,5542932,3840504,3.164271,5716960,,,0
olmoe-1b-7b-0924-q4_0_t4_n64_r3_cold,olmoe-1b-7b-0924-q4_0.gguf,4,64,3,cold,0.0000,21.8704,8765054976,2061869,5292560,3840464,8.703536,5546408,,,0
olmoe-1b-7b-0924-q4_0_t4_n320_r3_cold,olmoe-1b-7b-0924-q4_0.gguf,4,320,3,cold,0.0000,46.1496,9264267264,2061869,5271528,3840428,10.428588,5665384,,,0
