tag,model,threads,n_gen,rep,mode,resident_after_drop,t_wall_s,read_bytes,rchar,max_vmrss_kb,max_rssfile_kb,tg_tok_s,memavail_kb_start,batt_level,batt_temp_dC,exit,cpu_s,memavail_kb_min
granite-3.1-1b-a400m-instruct-Q4_0_t1_n64_r1_warm,granite-3.1-1b-a400m-instruct-Q4_0.gguf,1,64,1,warm,NA,2.45208,0,2020909,1455480,758416,49.243143,5480512,,,0,2.13,4778080
granite-3.1-1b-a400m-instruct-Q4_0_t1_n320_r1_warm,granite-3.1-1b-a400m-instruct-Q4_0.gguf,1,320,1,warm,NA,8.21432,0,2020909,1467896,758384,45.213394,5484148,,,0,7.85,4765888
